x,y,salinity
1493.1472979461657,1414.2197244340991,-32768.0
1517.3523468251537,1436.4240326949846,-32768.0
1541.5573957041413,1458.2482621567333,-32768.0
1565.7624445831286,1480.6417679383107,-32768.0
1589.11819350145,1502.0859943822675,-32768.0
1613.3232423804382,1524.2889664522845,-32768.0
1637.5282912594257,1545.9220061298358,-32768.0
1661.7333401384133,1568.1243078602602,-32768.0
1685.9383890174006,1589.7566858453047,-32768.0
1709.7187879160551,1611.9585319461657,-32768.0
1733.4991868147094,1633.7803280204753,-32768.0
1757.2795857133644,1655.791656230577,-32768.0
1781.059984612019,1677.6127993820369,-32768.0
1805.6896834713393,1699.6230190364092,-32768.0
1829.4700823699939,1721.633357033267,-32768.0
1853.2504812686489,1743.263662094802,-32768.0
1877.880180127969,1765.4627261498117,-32768.0
1901.660579026624,1787.4720739250445,-32768.0
1925.4409779252783,1809.4810931085158,-32768.0
1949.2213768239326,1831.2999372416673,-32768.0
1973.8510756832534,1853.307806880596,-32768.0
1997.631474581908,1874.9361486821472,-32768.0
2021.836523460896,1897.1334412979888,-32768.0
2045.192272379217,1918.9512264612563,-32768.0
2069.8219712385376,1940.9577553089084,-32768.0
2094.0270201175254,1962.7743674953945,-32768.0
2117.8074190161797,1984.9705853233388,-32768.0
2141.587817914835,2006.786801716352,-32768.0
2165.3682168134887,2028.6026923409052,-32768.0
2189.5732656924765,2050.797648314507,-32768.0
2213.7783145714643,2072.6126055301575,-32768.0
2237.9833634504516,2094.427231156724,-32768.0
2261.763762349107,2116.431634982894,-32768.0
2285.968811228094,2138.4354252982357,-32768.0
2309.3245601464155,2160.249631806111,-32768.0
2333.529609025403,2182.442584050351,-32768.0
2357.7346579043906,2204.0657325497978,-32768.0
2381.9397067833784,2226.0681937110003,-32768.0
2405.7201056820327,2248.070619919444,-32768.0
2429.9251545610205,2270.2622328851494,-32768.0
2453.7055534596752,2291.884364694803,-32768.0
2477.9106023386626,2313.885495245277,-32768.0
2501.691001237317,2335.696788996667,-32768.0
2525.8960501163047,2357.697254956942,-32768.0
2549.6764490149594,2379.5078928175917,-32768.0
2573.4568479136137,2401.508014174565,-32768.0
2597.237246812268,2423.317999049878,-32768.0
2621.866945671589,2445.6964257131076,-32768.0
2645.647344570244,2467.5057489485584,-32768.0
2669.4277434688984,2489.1249428317487,-32768.0
2693.6327923478857,2511.5026876890565,-32768.0
2717.8378412268735,2533.1208895636,-32768.0
2741.618240125528,2555.1187016729887,-32768.0
2765.823289004515,2576.9260439194472,-32768.0
2790.0283378835034,2599.1126473186614,-32768.0
